"","PlayerID","PlayerYear","Position","Team","Status","Name"
"1",964,2015,"TE","NEP",NA,"Gronkowski, Rob"
"2",685,2015,"RB","KCC",NA,"Charles, Jamaal"
"3",1537,2015,"RB","PIT",NA,"Bell, Le'Veon"
"4",1543,2015,"RB","GBP",NA,"Lacy, Eddie"
"5",605,2015,"RB","MIN",NA,"Peterson, Adrian"
"6",909,2015,"WR","DAL",NA,"Bryant, Dez"
"7",1012,2015,"WR","PIT",NA,"Brown, Antonio"
"8",1091,2015,"WR","ATL",NA,"Jones, Julio"
"9",604,2015,"WR","DET",NA,"Johnson, Calvin"
"10",1847,2015,"WR","NYG",NA,"Beckham, Odell"
"11",715,2015,"RB","CHI",NA,"Forte, Matt"
"12",956,2015,"WR","DEN",NA,"Thomas, Demaryius"
"13",612,2015,"RB","SEA",NA,"Lynch, Marshawn"
"14",1118,2015,"RB","PHI",NA,"Murray, DeMarco"
"15",1823,2015,"RB","CIN",NA,"Hill, Jeremy"
"16",876,2015,"RB","HOU",NA,"Foster, Arian"
"17",795,2015,"RB","BUF",NA,"McCoy, LeSean"
"18",713,2015,"WR","GBP",NA,"Nelson, Jordy"
"19",1081,2015,"WR","CIN",NA,"Green, A.J."
"20",1735,2015,"RB","DEN",NA,"Anderson, C.J."
"21",979,2015,"TE","SEA",NA,"Graham, Jimmy"
"22",1122,2015,"WR","GBP",NA,"Cobb, Randall"
"23",1839,2015,"WR","TBB",NA,"Evans, Mike"
"24",1297,2015,"WR","IND",NA,"Hilton, T.Y."
"25",505,2015,"RB","IND",NA,"Gore, Frank"
"26",755,2015,"RB","BAL",NA,"Forsett, Justin"
"27",1294,2015,"WR","CHI",NA,"Jeffery, Alshon"
"28",625,2015,"TE","CAR",NA,"Olsen, Greg"
"29",1271,2015,"QB","IND",NA,"Luck, Andrew"
"30",2169,2015,"RB","SDC","R","Gordon, Melvin"
"31",497,2015,"QB","GBP",NA,"Rodgers, Aaron"
"32",1279,2015,"QB","SEA",NA,"Wilson, Russell"
"33",1564,2015,"WR","HOU",NA,"Hopkins, DeAndre"
