"","OwnerID","FranchiseNumber","LeagueID","Points","Rank"
"1",1,1,1,2020.4,11
"2",2,2,1,2137.2,6
"3",3,3,1,2386.5,3
"4",4,4,1,2370.7,4
"5",5,5,1,2023.9,10
"6",6,6,1,2491.4,1
"7",7,7,1,2075.4,8
"8",8,8,1,2050.8,9
"9",9,9,1,2356.5,5
"10",10,10,1,2084.6,7
"11",11,11,1,2421.8,2
"12",12,12,1,1698.8,12
"13",13,1,2,1918.7,12
"14",14,2,2,2170.5,6
"15",15,3,2,1921.3,11
"16",16,4,2,2588.3,1
"17",17,5,2,2069.9,10
"18",18,6,2,2221.6,5
"19",19,7,2,2273,3
"20",20,8,2,2284.2,2
"21",21,9,2,2109.1,7
"22",22,10,2,2228.5,4
"23",23,11,2,2105.2,8
"24",24,12,2,2081.5,9
"25",25,1,3,2085.3,8
"26",26,2,3,2352.3,2
"27",27,3,3,2200.8,6
"28",28,4,3,2006.4,9
"29",29,5,3,2241.5,5
"30",30,6,3,2304.4,3
"31",31,7,3,1945.1,10
"32",32,8,3,2172.6,7
"33",33,9,3,1939.2,11
"34",34,10,3,1886.4,12
"35",35,11,3,2285.9,4
"36",36,12,3,2390.4,1
"37",37,1,4,2017.6,9
"38",38,2,4,2239.7,4
"39",39,3,4,1972.2,11
"40",40,4,4,2079.5,8
"41",41,5,4,2200.2,6
"42",42,6,4,2213.1,5
"43",43,7,4,1921.9,12
"44",44,8,4,2465,1
"45",45,9,4,2129.1,7
"46",46,10,4,2009.5,10
"47",47,11,4,2373.2,2
"48",48,12,4,2250.9,3
"49",49,1,5,2145.6,8
"50",50,2,5,2080.8,9
"51",51,3,5,2335.7,3
"52",52,4,5,2229.8,4
"53",53,5,5,2496.8,1
"54",54,6,5,1968.8,11
"55",55,7,5,2372.5,2
"56",56,8,5,2202.6,5
"57",57,9,5,2183.2,7
"58",58,10,5,2197.1,6
"59",59,11,5,1922.4,12
"60",60,12,5,2065.6,10
"61",61,1,6,2206,6
"62",62,2,6,2234.2,5
"63",63,3,6,2404.6,2
"64",64,4,6,2175.5,8
"65",65,5,6,2354.2,3
"66",66,6,6,2604,1
"67",67,7,6,2200.3,7
"68",68,8,6,2077,11
"69",69,9,6,2235.3,4
"70",70,10,6,2151.2,10
"71",71,11,6,2151.9,9
"72",72,12,6,1989,12
"73",73,1,7,2368.8,3
"74",74,2,7,2460.7,1
"75",75,3,7,2222.2,7
"76",76,4,7,2232.9,5
"77",77,5,7,2213.7,8
"78",78,6,7,2232.9,6
"79",79,7,7,2240.3,4
"80",80,8,7,2377.4,2
"81",81,9,7,1903.6,12
"82",82,10,7,2200.2,9
"83",83,11,7,2109.6,11
"84",84,12,7,2123.4,10
"85",85,1,8,2013.5,10
"86",86,2,8,2442,1
"87",87,3,8,1982.2,11
"88",88,4,8,2313.4,3
"89",89,5,8,2271.4,4
"90",90,6,8,2085.5,8
"91",91,7,8,2383.9,2
"92",92,8,8,2042.2,9
"93",93,9,8,1694.8,12
"94",94,10,8,2263.7,6
"95",95,11,8,2229.4,7
"96",96,12,8,2270.3,5
"97",97,1,9,1985.9,9
"98",98,2,9,1777.5,12
"99",99,3,9,2331.7,2
"100",100,4,9,2317.7,3
"101",101,5,9,2146,7
"102",102,6,9,2298.7,4
"103",103,7,9,1944,10
"104",104,8,9,1851.5,11
"105",105,9,9,2179.1,6
"106",106,10,9,2475.3,1
"107",107,11,9,1999.9,8
"108",108,12,9,2263.5,5
"109",109,1,10,2267.4,4
"110",110,2,10,2389.1,1
"111",111,3,10,2240.7,5
"112",112,4,10,2082.1,12
"113",113,5,10,2342.7,3
"114",114,6,10,2235.9,6
"115",115,7,10,2123.4,10
"116",116,8,10,2131.7,9
"117",117,9,10,2165.6,8
"118",118,10,10,2355.6,2
"119",119,11,10,2086.5,11
"120",120,12,10,2172.7,7
"121",121,1,11,2607.7,1
"122",122,2,11,2025,9
"123",123,3,11,2032.3,8
"124",124,4,11,2224.6,6
"125",125,5,11,2539.8,2
"126",126,6,11,1855.6,12
"127",127,7,11,2344.8,4
"128",128,8,11,2277.2,5
"129",129,9,11,2049.6,7
"130",130,10,11,2018.7,10
"131",131,11,11,1872,11
"132",132,12,11,2531.8,3
"133",133,1,12,2590.3,1
"134",134,2,12,2166.9,7
"135",135,3,12,2291.7,6
"136",136,4,12,1995.3,10
"137",137,5,12,2072.6,8
"138",138,6,12,2340.8,5
"139",139,7,12,2520.3,2
"140",140,8,12,2344.3,4
"141",141,9,12,2473.9,3
"142",142,10,12,2015.1,9
"143",143,11,12,1910.8,12
"144",144,12,12,1982.5,11
"145",145,1,13,2067.9,10
"146",146,2,13,2021.2,11
"147",147,3,13,2152.7,8
"148",148,4,13,2520.2,1
"149",149,5,13,2338.9,2
"150",150,6,13,2212.1,6
"151",151,7,13,2246.8,3
"152",152,8,13,1951.1,12
"153",153,9,13,2217.8,5
"154",154,10,13,2236.4,4
"155",155,11,13,2199.4,7
"156",156,12,13,2121.7,9
"157",157,1,14,2179.5,9
"158",158,2,14,2192.9,8
"159",159,3,14,2373.3,3
"160",160,4,14,2243.2,6
"161",161,5,14,2434.5,2
"162",162,6,14,2507.7,1
"163",163,7,14,1943.9,10
"164",164,8,14,2363.2,4
"165",165,9,14,1911.8,11
"166",166,10,14,1637.8,12
"167",167,11,14,2297.1,5
"168",168,12,14,2193.8,7
"169",169,1,15,2311.1,4
"170",170,2,15,2316.7,3
"171",171,3,15,2008.7,12
"172",172,4,15,2322.3,2
"173",173,5,15,2286.5,5
"174",174,6,15,2222.7,8
"175",175,7,15,2534.9,1
"176",176,8,15,2282.1,6
"177",177,9,15,2121.4,9
"178",178,10,15,2029.7,11
"179",179,11,15,2248.5,7
"180",180,12,15,2080.7,10
"181",181,1,16,2272.6,4
"182",182,2,16,2251.5,5
"183",183,3,16,2481.5,2
"184",184,4,16,2598.9,1
"185",185,5,16,2199.5,7
"186",186,6,16,2321.9,3
"187",187,7,16,2248.2,6
"188",188,8,16,2189.6,8
"189",189,9,16,1999.7,11
"190",190,10,16,2142.9,9
"191",191,11,16,2011.8,10
"192",192,12,16,1786.5,12
"193",193,1,17,2390.3,2
"194",194,2,17,2225.4,7
"195",195,3,17,2034.5,9
"196",196,4,17,2306.4,6
"197",197,5,17,2314.8,5
"198",198,6,17,2087.6,8
"199",199,7,17,2318.4,4
"200",200,8,17,2414.9,1
"201",201,9,17,1967.2,11
"202",202,10,17,2004.1,10
"203",203,11,17,1890.4,12
"204",204,12,17,2359.5,3
"205",205,1,18,2408,2
"206",206,2,18,2324.9,3
"207",207,3,18,2156.8,7
"208",208,4,18,1922.3,10
"209",209,5,18,2160.5,6
"210",210,6,18,2132.4,8
"211",211,7,18,2464.6,1
