"","PlayerScoreID","Week","Score","PlayerID"
"1",1,1,39.3,1103
"2",2,1,36,947
"3",3,1,35.6,407
"4",4,1,35.1,512
"5",5,1,33.4,1606
"6",6,1,32.9,1342
"7",7,1,32.6,892
"8",8,1,32.2,1795
"9",9,1,31.6,467
"10",10,1,29.9,1512
"11",11,1,29.5,701
"12",12,1,28.3,1871
"13",13,1,28.1,443
"14",14,1,27.8,1336
"15",15,1,27.7,637
"16",16,1,25.5,473
"17",17,1,25.5,1579
"18",18,1,24.8,446
"19",19,1,24.4,1608
"20",20,1,24.2,1071
"21",21,1,24,216
"22",22,1,23.3,1592
"23",23,1,23.2,1899
"24",24,1,23.1,959
"25",25,1,23,1883
"26",26,1,23,782
"27",27,1,22.7,980
"28",28,1,22,2199
"29",29,1,21.7,1901
"30",30,1,21.7,2236
"31",31,1,21.6,421
"32",32,1,21.1,1605
"33",33,1,21,986
"34",34,1,21,1127
"35",35,1,20.9,1603
"36",36,1,20.5,644
"37",37,1,20.3,442
"38",38,1,19.4,1872
"39",39,1,19.2,742
"40",40,1,18.9,1110
"41",41,1,18.5,1538
"42",42,1,18.4,1748
"43",43,1,18.4,1609
"44",44,1,18.2,1577
"45",45,1,17.9,2320
"46",46,1,17.7,1672
"47",47,1,17.7,698
"48",48,1,17.7,1879
"49",49,1,17.5,2501
"50",50,1,17.4,1025
"51",51,1,17.3,1138
"52",52,1,17.2,705
"53",53,1,17.2,1912
"54",54,1,17,1105
"55",55,1,17,713
"56",56,1,17,444
"57",57,1,16.9,1881
"58",58,1,16.9,491
"59",59,1,16.7,1880
"60",60,1,16.6,957
"61",61,1,16.4,1362
"62",62,1,16.2,626
"63",63,1,16.2,948
"64",64,1,16,222
"65",65,1,15.8,1600
"66",66,1,15.7,1907
"67",67,1,15.7,1114
"68",68,1,15.7,643
"69",69,1,15.6,431
"70",70,1,15.6,1624
"71",71,1,15.2,642
"72",72,1,15.2,775
"73",73,1,15,1268
"74",74,1,14.6,1115
"75",75,1,14.6,621
"76",76,1,14.6,2246
"77",77,1,14.5,1111
"78",78,1,14.5,1261
"79",79,1,14.5,1126
"80",80,1,14.3,573
"81",81,1,14.3,1884
